origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
Ituzaingo,Paso de los Libres,89019.6438611,224485.2861516,42843.1171416,356348.0471543
Ituzaingo,Saladas,89019.6438611,313696.1252887,25493.9973584,428209.7665082
Ituzaingo,San Cosme,89019.6438611,460339.8011360,97866.5581670,647226.0031641
Ituzaingo,San Luis del Palmar,89019.6438611,313696.1252887,98360.0311749,501075.8003247
Ituzaingo,La Cruz,89019.6438611,224485.2861516,42936.8868004,356441.8168130
Ituzaingo,San Miguel,89019.6438611,128748.8497975,54043.1459510,271811.6396096
Ituzaingo,San Roque,89019.6438611,313696.1252887,29716.4568725,432432.2260223
Ituzaingo,Santo Tome,89019.6438611,313696.1252887,29716.4568725,432432.2260223
Ituzaingo,Sauce,89019.6438611,347777.9463775,73063.9984597,509861.5886984
Lavalle,Corrientes,106240.8772861,147421.1977833,73051.6273269,326713.7023962
Lavalle,Bella Vista,106240.8772861,147421.1977833,73051.6273269,326713.7023962
Lavalle,Beron de Astrada,106240.8772861,294648.2967142,52954.4878530,453843.6618532
Lavalle,Concepcion,106240.8772861,109701.0212230,96068.0454887,312009.9439977
Lavalle,Curuzu Cuatia,106240.8772861,260322.8478452,30906.1577404,397469.8828718
Lavalle,Empedrado,106240.8772861,109701.0212230,43033.8597195,258975.7582285
Lavalle,Esquina,106240.8772861,275595.2810599,73525.3653756,455361.5237215
Lavalle,Alvear,106240.8772861,383615.5080712,54225.0886254,544081.4739827
Lavalle,Caa Cati,106240.8772861,294648.2967142,53874.0239636,454763.1979638
Lavalle,Goya,106240.8772861,294648.2967142,53874.0239636,454763.1979638
Lavalle,Itati,106240.8772861,234361.4922720,11574.0400685,352176.4096265
Lavalle,Ituzaingo,106240.8772861,423397.1465116,89019.6438611,618657.6676588
Lavalle,Lavalle,106240.8772861,0.0000000,89019.6438611,618657.6676588
Lavalle,Mburucuya,106240.8772861,109701.0212230,70259.0236677,286200.9221768
Lavalle,Mercedes,106240.8772861,109701.0212230,120958.4717359,336900.3702449
Lavalle,Monte Caseros,106240.8772861,260322.8478452,95745.4085424,462309.1336737
Lavalle,Paso de los Libres,106240.8772861,383615.5080712,42843.1171416,532699.5024988
Lavalle,Saladas,106240.8772861,109701.0212230,25493.9973584,241435.8958674
Lavalle,San Cosme,106240.8772861,147421.1977833,97866.5581670,351528.6332363
Lavalle,San Luis del Palmar,106240.8772861,109701.0212230,98360.0311749,314301.9296839
Lavalle,La Cruz,106240.8772861,383615.5080712,42936.8868004,532793.2721576
Lavalle,San Miguel,106240.8772861,294648.2967142,54043.1459510,454932.3199512
Lavalle,San Roque,106240.8772861,109701.0212230,29716.4568725,245658.3553815
Lavalle,Santo Tome,106240.8772861,423397.1465116,105262.4973187,634900.5211164
Lavalle,Sauce,106240.8772861,260322.8478452,73063.9984597,439627.7235910
Mburucuya,Corrientes,70259.0236677,146643.6758473,73051.6273269,289954.3268419
Mburucuya,Bella Vista,70259.0236677,109701.0212230,93055.6682672,273015.7131579
Mburucuya,Beron de Astrada,70259.0236677,184947.2754912,52954.4878530,308160.7870119
Mburucuya,Concepcion,70259.0236677,184947.2754912,52954.4878530,308160.7870119
Mburucuya,Curuzu Cuatia,70259.0236677,150621.8266223,30906.1577404,251787.0080305
Mburucuya,Empedrado,70259.0236677,150621.8266223,30906.1577404,251787.0080305
Mburucuya,Esquina,70259.0236677,312303.6785027,73525.3653756,456088.0675461
Mburucuya,Alvear,70259.0236677,273914.4868482,54225.0886254,398398.5991414
Mburucuya,Caa Cati,70259.0236677,184947.2754912,53874.0239636,309080.3231226
Mburucuya,Goya,70259.0236677,109701.0212230,110438.4221223,290398.4670130
Mburucuya,Itati,70259.0236677,124660.4710490,11574.0400685,206493.5347853
Mburucuya,Ituzaingo,70259.0236677,313696.1252887,89019.6438611,472974.7928176
Mburucuya,Lavalle,70259.0236677,109701.0212230,106240.8772861,286200.9221768
Mburucuya,Mburucuya,70259.0236677,0.0000000,106240.8772861,286200.9221768
Mburucuya,Mercedes,70259.0236677,0.0000000,106240.8772861,286200.9221768
Mburucuya,Monte Caseros,70259.0236677,150621.8266223,95745.4085424,316626.2588325
